product_type,brand,condition,age_years,weight_kg,storage_gb,screen_size_inch,location_tier,resale_price_inr,green_points,price_per_kg,age_category,brand_tier,product_category
Mouse,Generic,Dead,1.6,0.1,,,2,61,16,610.0,Recent,Budget,Computer
Laptop,Asus,Dead,0.6,2.45,128.0,15.0,3,4871,502,1988.1632653061224,New,Budget,Computer
Charger,Samsung,Working,5.3,0.15,,,1,280,63,1866.6666666666667,Very_Old,Premium,Accessory
Smartphone,Acer,Dead,3.3,0.17,128.0,5.5,3,1016,111,5976.470588235294,Old,Budget,Mobile
Tablet,OnePlus,Dead,0.9,0.77,1024.0,11.1,1,4364,448,5667.532467532467,New,Budget,Mobile
Mouse,Realme,Working,4.6,0.18,,,2,178,52,988.8888888888889,Old,Budget,Computer
Tablet,OnePlus,Dead,5.0,0.62,512.0,12.4,3,1601,171,2582.2580645161293,Old,Budget,Mobile
Speaker,Sony,Repairable,1.3,1.22,,,1,1506,172,1234.4262295081967,Recent,Premium,Accessory
Charger,Local,Dead,1.6,0.26,,,3,50,16,192.3076923076923,Recent,Budget,Accessory
Monitor,Apple,Working,0.5,5.55,,21.9,2,12762,1327,2299.4594594594596,New,Premium,Computer
Laptop,Samsung,Repairable,0.8,2.01,32.0,14.3,3,16425,1671,8171.641791044777,New,Premium,Computer
Mouse,MSI,Working,2.0,0.17,,,2,607,95,3570.5882352941176,Recent,Premium,Computer
Mouse,Dell,Working,7.6,0.2,,,3,68,41,340.0,Very_Old,Premium,Computer
Battery,HP,Dead,1.9,0.45,,,3,172,28,382.22222222222223,Recent,Budget,Accessory
Monitor,Acer,Working,0.6,6.05,,19.7,3,6521,704,1077.8512396694216,New,Budget,Computer
Charger,Xiaomi,Dead,1.2,0.28,,,2,74,18,264.2857142857143,Recent,Budget,Accessory
Monitor,HP,Working,0.8,5.45,,22.1,1,11116,1162,2039.6330275229357,New,Budget,Computer
Mouse,HP,Repairable,2.7,0.18,,,1,279,47,1550.0,Recent,Budget,Computer
Smartphone,HP,Working,3.1,0.19,32.0,6.1,3,6962,736,36642.10526315789,Old,Budget,Mobile
Laptop,OnePlus,Working,2.0,1.64,1024.0,14.3,2,25884,2631,15782.926829268294,Recent,Budget,Computer
Mouse,Dell,Repairable,0.9,0.1,,,3,379,57,3790.0,New,Premium,Computer
Speaker,Xiaomi,Working,2.8,1.03,,,2,1388,175,1347.5728155339805,Recent,Budget,Accessory
Battery,HP,Working,1.0,0.62,,,2,895,125,1443.5483870967741,New,Budget,Accessory
Charger,LG,Repairable,2.8,0.18,,,3,216,41,1200.0,Recent,Budget,Accessory
Smartphone,Asus,Repairable,0.8,0.18,1024.0,6.7,1,5826,607,32366.666666666668,New,Budget,Mobile
Battery,Acer,Working,4.7,0.43,,,3,407,76,946.5116279069767,Old,Budget,Accessory
Monitor,HP,Working,3.9,5.78,,22.1,2,5039,555,871.7993079584775,Old,Budget,Computer
Battery,Dell,Working,0.7,0.75,,,1,1482,185,1976.0,New,Premium,Accessory
Laptop,Xiaomi,Dead,2.5,2.01,512.0,15.9,1,3343,348,1663.1840796019903,Recent,Budget,Computer
Mouse,Generic,Working,5.0,0.19,,,1,190,54,1000.0,Old,Budget,Computer
Monitor,Dell,Repairable,2.6,3.42,,30.7,2,3248,351,949.7076023391813,Recent,Premium,Computer
Battery,Local,Working,2.4,0.3,,,2,292,65,973.3333333333334,Recent,Budget,Accessory
Battery,Lenovo,Dead,2.7,0.3,,,3,130,24,433.33333333333337,Recent,Budget,Accessory
Headphones,LG,Repairable,2.1,0.41,,,3,824,103,2009.7560975609758,Recent,Budget,Accessory
Mouse,Asus,Repairable,1.0,0.17,,,1,364,56,2141.176470588235,New,Budget,Computer
Headphones,HP,Dead,1.3,0.42,,,2,483,59,1150.0,Recent,Budget,Accessory
Mouse,Apple,Repairable,4.3,0.17,,,1,344,54,2023.5294117647056,Old,Premium,Computer
Speaker,Xiaomi,Repairable,0.7,1.74,,,3,837,106,481.0344827586207,New,Budget,Accessory
Tablet,Apple,Dead,1.1,0.79,32.0,12.4,3,4038,415,5111.392405063291,Recent,Premium,Mobile
Laptop,Realme,Working,2.5,2.69,64.0,15.3,2,11159,1160,4148.327137546468,Recent,Budget,Computer
Speaker,HP,Repairable,1.9,1.39,,,1,1553,178,1117.2661870503598,Recent,Budget,Accessory
Laptop,LG,Repairable,1.2,1.54,512.0,13.7,2,13427,1370,8718.831168831168,Recent,Budget,Computer
Headphones,HP,Repairable,6.1,0.49,,,2,394,60,804.0816326530612,Very_Old,Budget,Accessory
Headphones,LG,Working,1.4,0.2,,,2,2090,244,10450.0,Recent,Budget,Accessory
Keyboard,Sony,Dead,1.6,1.18,,,3,337,45,285.5932203389831,Recent,Premium,Computer
Smartphone,Xiaomi,Repairable,4.3,0.18,512.0,6.5,3,1920,212,10666.666666666668,Old,Budget,Mobile
Laptop,OnePlus,Working,1.3,1.75,128.0,16.7,1,25922,2636,14812.57142857143,Recent,Budget,Computer
Charger,Local,Working,2.9,0.21,,,1,156,50,742.8571428571429,Recent,Budget,Accessory
Headphones,Dell,Repairable,2.4,0.5,,,2,832,104,1664.0,Recent,Premium,Accessory
Headphones,Realme,Dead,2.0,0.46,,,3,236,34,513.0434782608695,Recent,Budget,Accessory
Mouse,Apple,Repairable,2.9,0.17,,,2,388,58,2282.3529411764703,Recent,Premium,Computer
Laptop,Local,Working,1.2,2.71,32.0,16.5,3,9850,1030,3634.6863468634688,Recent,Budget,Computer
Mouse,Dell,Working,5.4,0.15,,,2,298,64,1986.6666666666667,Very_Old,Premium,Computer
Charger,HP,Repairable,3.7,0.23,,,3,182,38,791.3043478260869,Old,Budget,Accessory
Mouse,Xiaomi,Working,3.7,0.19,,,3,243,59,1278.9473684210527,Old,Budget,Computer
Smartphone,Samsung,Repairable,1.4,0.16,128.0,5.1,1,6938,718,43362.5,Recent,Premium,Mobile
Charger,MSI,Working,1.8,0.21,,,3,436,78,2076.190476190476,Recent,Premium,Accessory
Tablet,Acer,Repairable,2.3,0.41,1024.0,12.0,2,4543,475,11080.48780487805,Recent,Budget,Mobile
Smartphone,Samsung,Working,1.4,0.16,1024.0,6.4,3,11343,1174,70893.75,Recent,Premium,Mobile
Mouse,Apple,Dead,1.0,0.16,,,2,198,29,1237.5,New,Premium,Computer
Tablet,LG,Working,0.6,0.61,128.0,11.1,2,13486,1389,22108.196721311477,New,Budget,Mobile
Smartphone,Local,Working,3.1,0.25,1024.0,5.6,1,3728,407,14912.0,Old,Budget,Mobile
Laptop,Sony,Dead,3.7,1.91,256.0,13.3,3,3665,380,1918.848167539267,Old,Premium,Computer
Tablet,Local,Dead,0.6,0.79,64.0,11.4,3,1421,154,1798.73417721519,New,Budget,Mobile
Tablet,Local,Repairable,1.6,0.47,64.0,9.2,3,2195,240,4670.212765957447,Recent,Budget,Mobile
Charger,MSI,Dead,2.1,0.24,,,3,112,21,466.6666666666667,Recent,Premium,Accessory
Monitor,Lenovo,Working,1.2,7.77,,26.2,3,7239,779,931.6602316602317,Recent,Budget,Computer
Battery,Generic,Working,2.4,0.51,,,2,374,73,733.3333333333334,Recent,Budget,Accessory
Monitor,Generic,Dead,1.4,6.79,,20.5,2,724,96,106.62739322533137,Recent,Budget,Computer
Monitor,HP,Working,0.6,3.2,,28.1,1,10913,1137,3410.3125,New,Budget,Computer
Charger,Lenovo,Dead,1.8,0.12,,,3,93,19,775.0,Recent,Budget,Accessory
Headphones,Sony,Repairable,1.8,0.25,,,2,1042,124,4168.0,Recent,Premium,Accessory
Mouse,Sony,Dead,1.5,0.16,,,1,186,28,1162.5,Recent,Premium,Computer
Headphones,Dell,Repairable,0.6,0.31,,,3,1197,140,3861.2903225806454,New,Premium,Accessory
Smartphone,Samsung,Repairable,1.9,0.24,128.0,5.3,3,5431,568,22629.166666666668,Recent,Premium,Mobile
Charger,LG,Repairable,0.6,0.23,,,2,232,43,1008.695652173913,New,Budget,Accessory
Battery,Local,Repairable,2.3,0.77,,,1,216,43,280.5194805194805,Recent,Budget,Accessory
Battery,Apple,Repairable,1.5,0.62,,,3,686,89,1106.4516129032259,Recent,Premium,Accessory
Monitor,Sony,Repairable,2.1,7.71,,31.5,3,3508,385,454.9935149156939,Recent,Premium,Computer
Charger,Realme,Working,5.2,0.14,,,3,102,45,728.5714285714286,Very_Old,Budget,Accessory
Headphones,OnePlus,Working,0.7,0.21,,,2,1796,214,8552.380952380952,New,Budget,Accessory
Battery,Acer,Working,2.8,0.34,,,1,661,102,1944.1176470588234,Recent,Budget,Accessory
Battery,Asus,Dead,4.2,0.31,,,2,151,26,487.0967741935484,Old,Budget,Accessory
Tablet,Realme,Repairable,1.2,0.45,256.0,11.1,2,4976,518,11057.777777777777,Recent,Budget,Mobile
Smartphone,Lenovo,Working,4.7,0.22,256.0,5.5,3,5192,559,23600.0,Old,Budget,Mobile
Speaker,Asus,Working,0.9,2.5,,,2,3125,352,1250.0,New,Budget,Accessory
Monitor,OnePlus,Repairable,8.0,5.06,,29.1,3,430,73,84.9802371541502,Very_Old,Budget,Computer
Tablet,Asus,Working,1.3,0.77,512.0,10.1,2,16559,1697,21505.194805194806,Recent,Budget,Mobile
Speaker,Sony,Working,3.3,2.51,,,3,1545,194,615.5378486055778,Old,Premium,Accessory
Monitor,Asus,Working,5.2,5.53,,23.2,3,3581,404,647.5587703435805,Very_Old,Budget,Computer
Tablet,Apple,Working,5.0,0.56,256.0,12.4,2,8282,869,14789.285714285714,Old,Premium,Mobile
Laptop,Xiaomi,Repairable,0.7,1.98,1024.0,16.8,2,11652,1194,5884.848484848485,New,Budget,Computer
Battery,Xiaomi,Working,2.2,0.62,,,1,618,97,996.7741935483871,Recent,Budget,Accessory
Smartphone,Local,Dead,1.2,0.18,32.0,6.4,3,926,102,5144.444444444444,Recent,Budget,Mobile
Monitor,Dell,Dead,3.6,6.95,,25.4,2,1112,135,160.0,Old,Premium,Computer
Keyboard,Apple,Repairable,0.6,0.88,,,3,1028,124,1168.1818181818182,New,Premium,Computer
Laptop,Xiaomi,Working,4.9,2.03,256.0,13.6,2,6985,742,3440.8866995073895,Old,Budget,Computer
Mouse,Realme,Working,3.4,0.16,,,3,203,55,1268.75,Old,Budget,Computer
Keyboard,Realme,Dead,0.7,0.99,,,3,143,26,144.44444444444446,New,Budget,Computer
Battery,Generic,Dead,4.0,0.65,,,2,58,16,89.23076923076923,Old,Budget,Accessory
Tablet,Acer,Dead,0.7,0.79,256.0,9.8,1,3158,327,3997.4683544303793,New,Budget,Mobile
Monitor,Generic,Repairable,3.9,7.74,,28.8,3,1441,179,186.17571059431523,Old,Budget,Computer
Mouse,Xiaomi,Repairable,1.4,0.11,,,1,285,48,2590.909090909091,Recent,Budget,Computer
Laptop,Acer,Working,2.1,2.14,128.0,13.4,2,19783,2022,9244.392523364486,Recent,Budget,Computer
Mouse,Samsung,Working,1.9,0.1,,,1,763,111,7630.0,Recent,Premium,Computer
Tablet,Acer,Working,0.6,0.45,256.0,11.2,2,11240,1165,24977.777777777777,New,Budget,Mobile
Mouse,Xiaomi,Repairable,3.2,0.16,,,1,224,42,1400.0,Old,Budget,Computer
Battery,LG,Dead,1.4,0.44,,,2,236,34,536.3636363636364,Recent,Budget,Accessory
Smartphone,Generic,Dead,1.0,0.25,512.0,6.7,2,1052,115,4208.0,New,Budget,Mobile
Smartphone,Sony,Working,0.6,0.24,256.0,6.8,3,11774,1217,49058.333333333336,New,Premium,Mobile
Battery,OnePlus,Repairable,0.7,0.58,,,2,685,89,1181.0344827586207,New,Budget,Accessory
Speaker,Local,Working,2.0,2.26,,,1,1172,157,518.5840707964602,Recent,Budget,Accessory
Battery,Xiaomi,Working,1.7,0.61,,,2,642,100,1052.4590163934427,Recent,Budget,Accessory
Battery,Acer,Working,5.1,0.32,,,2,345,70,1078.125,Very_Old,Budget,Accessory
Tablet,Realme,Repairable,6.5,0.76,256.0,11.0,2,1165,138,1532.8947368421052,Very_Old,Budget,Mobile
Smartphone,Samsung,Repairable,1.1,0.17,64.0,5.6,3,5658,590,33282.35294117647,Recent,Premium,Mobile
Tablet,Apple,Working,2.3,0.43,128.0,12.8,1,22172,2258,51562.79069767442,Recent,Premium,Mobile
Charger,Sony,Dead,2.9,0.21,,,2,94,19,447.61904761904765,Recent,Premium,Accessory
Battery,Lenovo,Dead,3.9,0.64,,,2,114,22,178.125,Old,Budget,Accessory
Mouse,Apple,Dead,5.3,0.18,,,2,116,21,644.4444444444445,Very_Old,Premium,Computer
Laptop,MSI,Dead,3.1,2.42,32.0,16.7,3,3731,388,1541.7355371900826,Old,Premium,Computer
Monitor,HP,Dead,4.5,3.23,,23.9,2,805,96,249.22600619195046,Old,Budget,Computer
Monitor,Dell,Repairable,3.8,7.94,,26.7,1,2810,317,353.904282115869,Old,Premium,Computer
Monitor,Xiaomi,Repairable,1.5,7.85,,29.9,3,2819,317,359.10828025477707,Recent,Budget,Computer
Tablet,Realme,Repairable,1.8,0.57,1024.0,8.3,3,3458,366,6066.666666666667,Recent,Budget,Mobile
Tablet,Lenovo,Working,4.5,0.73,32.0,12.9,3,7104,751,9731.506849315068,Old,Budget,Mobile
Speaker,Asus,Dead,2.1,2.54,,,2,634,78,249.60629921259843,Recent,Budget,Accessory
Monitor,Samsung,Repairable,4.3,4.24,,20.7,3,2511,279,592.2169811320755,Old,Premium,Computer
Monitor,Samsung,Repairable,6.7,6.03,,27.7,2,1027,134,170.3150912106136,Very_Old,Premium,Computer
Speaker,MSI,Working,2.4,1.72,,,3,1832,221,1065.1162790697674,Recent,Premium,Accessory
Smartphone,Sony,Repairable,2.7,0.2,1024.0,5.9,2,5628,587,28140.0,Recent,Premium,Mobile
Mouse,Asus,Working,4.3,0.16,,,3,348,69,2175.0,Old,Budget,Computer
Keyboard,Samsung,Repairable,4.7,0.78,,,2,365,58,467.94871794871796,Old,Premium,Computer
Keyboard,Acer,Working,0.6,1.03,,,1,1390,176,1349.514563106796,New,Budget,Computer
Mouse,Asus,Working,2.9,0.12,,,3,392,74,3266.666666666667,Recent,Budget,Computer
Mouse,MSI,Repairable,0.5,0.14,,,2,443,64,3164.2857142857138,New,Premium,Computer
Speaker,Lenovo,Working,1.5,1.87,,,1,2996,338,1602.139037433155,Recent,Budget,Accessory
Laptop,Lenovo,Dead,1.4,2.27,64.0,14.6,3,4815,496,2121.145374449339,Recent,Budget,Computer
Speaker,Realme,Repairable,2.4,2.72,,,2,823,107,302.5735294117647,Recent,Budget,Accessory
Keyboard,Generic,Working,0.8,1.15,,,2,703,107,611.304347826087,New,Budget,Computer
Charger,MSI,Working,1.1,0.19,,,1,769,111,4047.3684210526317,Recent,Premium,Accessory
Speaker,Acer,Dead,1.9,1.66,,,2,488,61,293.9759036144578,Recent,Budget,Accessory
Mouse,HP,Working,1.0,0.11,,,3,526,87,4781.818181818182,New,Budget,Computer
Keyboard,OnePlus,Dead,0.8,0.61,,,2,278,38,455.7377049180328,New,Budget,Computer
Keyboard,Xiaomi,Dead,2.5,0.63,,,1,174,28,276.1904761904762,Recent,Budget,Computer
Monitor,LG,Repairable,5.0,5.37,,21.2,2,1972,228,367.22532588454374,Old,Budget,Computer
Speaker,Sony,Repairable,0.9,1.08,,,2,1408,162,1303.7037037037037,New,Premium,Accessory
Battery,Acer,Repairable,1.2,0.39,,,2,375,58,961.5384615384615,Recent,Budget,Accessory
Keyboard,Lenovo,Working,0.8,0.82,,,1,1255,162,1530.4878048780488,New,Budget,Computer
Monitor,Sony,Working,1.4,5.52,,19.5,2,9079,958,1644.7463768115942,Recent,Premium,Computer
Tablet,HP,Working,3.7,0.65,256.0,12.3,1,8740,915,13446.153846153846,Old,Budget,Mobile
Speaker,MSI,Repairable,5.6,1.12,,,1,598,81,533.9285714285713,Very_Old,Premium,Accessory
Laptop,Generic,Working,3.8,2.62,64.0,13.8,2,6489,693,2476.717557251908,Old,Budget,Computer
Headphones,Apple,Repairable,1.4,0.35,,,1,1812,202,5177.142857142858,Recent,Premium,Accessory
Smartphone,Apple,Repairable,1.4,0.2,1024.0,5.1,3,8555,880,42775.0,Recent,Premium,Mobile
Keyboard,Samsung,Dead,1.1,1.0,,,2,422,54,422.0,Recent,Premium,Computer
Keyboard,Xiaomi,Repairable,1.9,0.87,,,1,400,62,459.7701149425287,Recent,Budget,Computer
Smartphone,Lenovo,Dead,1.7,0.2,256.0,5.5,1,2138,223,10690.0,Recent,Budget,Mobile
Laptop,LG,Repairable,1.4,1.53,512.0,13.8,2,11454,1173,7486.274509803921,Recent,Budget,Computer
Smartphone,Dell,Working,1.3,0.16,512.0,6.1,3,12245,1264,76531.25,Recent,Premium,Mobile
Laptop,HP,Working,2.8,2.68,256.0,13.3,2,19928,2037,7435.820895522387,Recent,Budget,Computer
Speaker,HP,Dead,2.0,2.17,,,2,601,74,276.95852534562215,Recent,Budget,Accessory
Keyboard,Lenovo,Dead,1.6,0.59,,,3,220,33,372.8813559322034,Recent,Budget,Computer
Headphones,Realme,Repairable,1.4,0.39,,,2,629,83,1612.8205128205127,Recent,Budget,Accessory
Laptop,MSI,Working,1.4,2.98,64.0,13.9,1,28212,2867,9467.114093959732,Recent,Premium,Computer
Laptop,Dell,Working,0.7,1.73,512.0,13.6,1,29449,2987,17022.543352601155,New,Premium,Computer
Smartphone,LG,Repairable,0.9,0.18,512.0,6.6,2,4926,512,27366.666666666668,New,Budget,Mobile
Smartphone,HP,Working,0.7,0.2,128.0,6.8,3,9300,970,46500.0,New,Budget,Mobile
Keyboard,Samsung,Repairable,0.7,0.78,,,3,959,117,1229.4871794871794,New,Premium,Computer
Speaker,Asus,Dead,4.5,2.63,,,1,329,47,125.09505703422053,Old,Budget,Accessory
Laptop,OnePlus,Working,0.9,2.5,64.0,15.2,3,25681,2613,10272.4,New,Budget,Computer
Tablet,Samsung,Working,2.2,0.51,128.0,8.9,2,14839,1524,29096.07843137255,Recent,Premium,Mobile
Speaker,Local,Working,1.3,1.85,,,1,1211,160,654.5945945945946,Recent,Budget,Accessory
Headphones,Acer,Repairable,1.1,0.23,,,1,1047,124,4552.173913043478,Recent,Budget,Accessory
Mouse,Xiaomi,Repairable,1.2,0.16,,,2,207,40,1293.75,Recent,Budget,Computer
Battery,Acer,Working,1.8,0.57,,,1,690,105,1210.5263157894738,Recent,Budget,Accessory
Laptop,HP,Dead,1.3,1.7,512.0,17.0,2,4828,495,2840.0,Recent,Budget,Computer
Smartphone,MSI,Repairable,1.3,0.23,128.0,6.2,2,5195,544,22586.95652173913,Recent,Premium,Mobile
Tablet,Xiaomi,Repairable,3.4,0.64,256.0,10.0,3,3245,345,5070.3125,Old,Budget,Mobile
Tablet,Realme,Repairable,1.4,0.77,256.0,12.7,3,4570,479,5935.064935064935,Recent,Budget,Mobile
Keyboard,Sony,Repairable,0.8,1.01,,,2,967,118,957.4257425742575,New,Premium,Computer
Laptop,Generic,Working,0.9,1.6,256.0,15.3,2,14685,1511,9178.125,New,Budget,Computer
Headphones,Asus,Dead,4.2,0.24,,,3,269,36,1120.8333333333335,Old,Budget,Accessory
Mouse,Apple,Repairable,1.0,0.12,,,2,480,68,4000.0,New,Premium,Computer
Charger,Samsung,Dead,3.9,0.23,,,2,90,19,391.30434782608694,Old,Premium,Accessory
Mouse,Generic,Dead,1.4,0.19,,,2,72,17,378.9473684210526,Recent,Budget,Computer
Mouse,Xiaomi,Repairable,3.9,0.14,,,1,156,35,1114.2857142857142,Old,Budget,Computer
Charger,Realme,Dead,1.7,0.16,,,2,73,17,456.25,Recent,Budget,Accessory
Smartphone,HP,Working,1.9,0.17,64.0,5.7,3,9428,982,55458.82352941176,Recent,Budget,Mobile
Keyboard,Local,Repairable,2.1,1.13,,,1,302,52,267.2566371681416,Recent,Budget,Computer
Speaker,MSI,Working,0.7,2.88,,,1,3579,398,1242.7083333333335,New,Premium,Accessory
Mouse,Apple,Repairable,1.3,0.11,,,1,653,85,5936.363636363636,Recent,Premium,Computer
Laptop,Xiaomi,Dead,2.4,2.3,1024.0,16.2,3,3427,357,1490.0000000000002,Recent,Budget,Computer
Keyboard,Local,Repairable,0.8,0.72,,,2,285,49,395.83333333333337,New,Budget,Computer
Headphones,LG,Dead,3.2,0.21,,,3,282,38,1342.857142857143,Old,Budget,Accessory
Monitor,Xiaomi,Repairable,3.4,7.38,,29.7,2,1863,221,252.4390243902439,Old,Budget,Computer
Speaker,OnePlus,Repairable,0.7,2.69,,,1,1441,169,535.6877323420074,New,Budget,Accessory
Laptop,Lenovo,Dead,1.5,2.7,256.0,13.9,2,4479,462,1658.8888888888887,Recent,Budget,Computer
Mouse,Lenovo,Dead,3.1,0.17,,,1,120,22,705.8823529411765,Old,Budget,Computer
Headphones,Generic,Repairable,2.9,0.36,,,3,333,54,925.0,Recent,Budget,Accessory
Keyboard,Generic,Working,1.3,0.63,,,2,766,112,1215.873015873016,Recent,Budget,Computer
Charger,Sony,Repairable,2.3,0.18,,,2,260,46,1444.4444444444446,Recent,Premium,Accessory
Keyboard,Local,Working,6.4,0.61,,,1,172,53,281.9672131147541,Very_Old,Budget,Computer
Monitor,Realme,Working,1.9,6.06,,30.3,3,3063,353,505.44554455445547,Recent,Budget,Computer
Battery,Apple,Working,5.9,0.58,,,2,553,91,953.4482758620691,Very_Old,Premium,Accessory
Battery,LG,Dead,5.6,0.65,,,3,63,17,96.92307692307692,Very_Old,Budget,Accessory
Tablet,Xiaomi,Dead,2.2,0.64,64.0,11.6,2,1713,182,2676.5625,Recent,Budget,Mobile
Speaker,Sony,Dead,5.9,2.85,,,3,201,36,70.52631578947368,Very_Old,Premium,Accessory
Keyboard,Samsung,Repairable,0.7,1.19,,,2,1019,123,856.3025210084033,New,Premium,Computer
Tablet,LG,Dead,0.8,0.77,64.0,10.5,1,3768,388,4893.506493506494,New,Budget,Mobile
Headphones,Sony,Repairable,2.3,0.32,,,2,812,102,2537.5,Recent,Premium,Accessory
Laptop,Generic,Working,1.3,2.7,1024.0,14.3,3,9146,959,3387.4074074074074,Recent,Budget,Computer
Battery,Sony,Repairable,1.5,0.57,,,3,589,79,1033.3333333333335,Recent,Premium,Accessory
Keyboard,Generic,Repairable,1.4,0.74,,,2,383,59,517.5675675675676,Recent,Budget,Computer
Monitor,Asus,Repairable,1.7,4.12,,20.8,1,4330,461,1050.9708737864078,Recent,Budget,Computer
Monitor,Acer,Working,0.9,5.49,,30.9,3,6059,656,1103.6429872495446,New,Budget,Computer
Laptop,Xiaomi,Working,1.4,2.37,128.0,13.1,3,14350,1480,6054.852320675105,Recent,Budget,Computer
Smartphone,Sony,Dead,2.7,0.17,128.0,5.3,2,2342,244,13776.470588235294,Recent,Premium,Mobile
Battery,Dell,Working,1.6,0.34,,,2,1228,158,3611.7647058823527,Recent,Premium,Accessory
Tablet,Dell,Working,1.9,0.64,512.0,11.7,3,10679,1108,16685.9375,Recent,Premium,Mobile
Speaker,Asus,Working,1.0,2.8,,,3,2180,259,778.5714285714287,New,Budget,Accessory
Tablet,HP,Repairable,0.9,0.41,128.0,10.8,2,7409,766,18070.731707317074,New,Budget,Mobile
Smartphone,Local,Dead,0.6,0.23,128.0,5.9,2,1024,112,4452.173913043478,New,Budget,Mobile
Tablet,Samsung,Repairable,1.7,0.56,128.0,8.8,3,7188,744,12835.714285714284,Recent,Premium,Mobile
Headphones,Asus,Dead,0.9,0.46,,,2,568,67,1234.782608695652,New,Budget,Accessory
Keyboard,Generic,Working,1.4,0.69,,,3,617,97,894.2028985507247,Recent,Budget,Computer
Keyboard,Samsung,Working,1.6,0.52,,,2,1268,162,2438.4615384615386,Recent,Premium,Computer
Speaker,Lenovo,Dead,3.0,2.32,,,1,376,52,162.0689655172414,Recent,Budget,Accessory
Battery,Lenovo,Working,1.0,0.42,,,3,908,126,2161.904761904762,New,Budget,Accessory
Smartphone,Local,Repairable,0.5,0.16,256.0,5.3,3,2736,293,17100.0,New,Budget,Mobile
Headphones,MSI,Dead,2.6,0.27,,,2,338,44,1251.8518518518517,Recent,Premium,Accessory
Charger,HP,Repairable,1.1,0.24,,,2,333,53,1387.5,Recent,Budget,Accessory
Tablet,Asus,Working,4.0,0.56,1024.0,9.0,2,9523,993,17005.35714285714,Old,Budget,Mobile
Headphones,MSI,Repairable,1.2,0.47,,,2,941,115,2002.1276595744682,Recent,Premium,Accessory
Tablet,Samsung,Dead,0.7,0.48,128.0,8.9,3,2807,291,5847.916666666667,New,Premium,Mobile
Tablet,HP,Working,2.2,0.57,512.0,12.0,3,13152,1356,23073.684210526317,Recent,Budget,Mobile
Charger,OnePlus,Repairable,1.3,0.15,,,1,297,49,1980.0,Recent,Budget,Accessory
Tablet,Lenovo,Dead,2.3,0.51,256.0,10.0,3,2483,259,4868.6274509803925,Recent,Budget,Mobile
